cell	partition
assign_1	1
assign_2	1
u_and0	2
u_and1	3
u_ff0	0
u_ff1	0
u_ff2	0
u_ff3	0
u_inv0	2
u_nand0	2
u_nor0	3
u_or0	2
u_or1	3
u_xor0	1
